Complaint ID,Concerning,Investigated,Status,EFO,County,Completed,Site,Received,Facility ID
40171,Illegal Dumping,JUN-28-2016,NOV,Memphis,Shelby,JUN-28-2016,Thomas - Airways/Holmes Industrial PD,JUN-28-2016,NRS790000186
40167,Other,JUN-29-2016,No Problem Found,Memphis,Shelby,JUN-29-2016,Delta Oil,JUN-03-2016,
39811,Other,MAY-20-2016,NOV,Memphis,Shelby,MAY-20-2016,"AllWaste Onsite, LLC DBA Onsite Environmental",MAY-19-2016,NRS790000178
39683,Illegal Dumping,MAY-18-2016,No Problem Found,Memphis,Shelby,MAY-18-2016,Allen Property,MAY-17-2016,
39681,Illegal Dumping,MAY-12-2016,No Problem Found,Memphis,Shelby,MAY-12-2016,Jackson Avenue Open Air Community Market P.D.,MAY-05-2016,
39483,Haz Waste Issue,MAY-02-2016,NOV,Memphis,Shelby,MAY-02-2016,RMS Surgical Memphis,APR-29-2016,TNR000031542
39498,Illegal Dumping,MAY-05-2016,No Problem Found,Memphis,Shelby,MAY-05-2016,Vacant Property,APR-28-2016,
39484,Haz Waste Issue,APR-29-2016,No Problem Found,Memphis,Shelby,APR-29-2016,Baldwin Paving,APR-27-2016,
39493,Other,APR-25-2016,Referred to other Agency/Section,Memphis,Shelby,APR-25-2016,The Stables Subdivision Phases 1-3,APR-25-2016,
39444,Other,APR-20-2016,Referred to other Agency/Section,Memphis,Shelby,APR-28-2016,Vacant Lot at 3548 Meyers Road,APR-19-2016,
39219,Other,APR-08-2016,Referred to other Agency/Section,Memphis,Shelby,APR-08-2016,The Stables Subdivision Phases 1-3,APR-07-2016,
39100,Illegal Dumping,MAR-29-2016,No Jurisdiction,Memphis,Shelby,MAR-29-2016,Dead end of Blanche,MAR-28-2016,
38661,Other,MAR-02-2016,Referred to other Agency/Section,Memphis,Shelby,MAR-02-2016,Stables Subdivision,FEB-24-2016,
38497,Tires,FEB-18-2016,Referred to other Agency/Section,Memphis,Shelby,FEB-18-2016,ELVIS PRESLEY BLVD. & I-240 LNDFL.,FEB-17-2016,
38917,Other,FEB-17-2016,Referred to other Agency/Section,Memphis,Shelby,FEB-17-2016,Stables Subdivision/Eplex Landfill,FEB-15-2016,
38412,Other,FEB-08-2016,Referred to other Agency/Section,Memphis,Shelby,FEB-08-2016,Wolf River Boulevard-Collierville,FEB-08-2016,
38408,Other,FEB-08-2016,Referred to other Agency/Section,Memphis,Shelby,FEB-08-2016,Wolf River Boulevard-Collierville,FEB-02-2016,
38409,Other,FEB-08-2016,Referred to other Agency/Section,Memphis,Shelby,FEB-08-2016,Stables Subdivision,FEB-02-2016,
38406,Other,FEB-02-2016,Referred to other Agency/Section,Memphis,Shelby,FEB-02-2016,Stables Subdivision,JAN-29-2016,
38404,Other,FEB-02-2016,Referred to other Agency/Section,Memphis,Shelby,FEB-02-2016,Stables Subdivision,JAN-29-2016,
38211,Illegal Dumping,JAN-19-2016,Referred to other Agency/Section,Memphis,Shelby,JAN-19-2016,St. Catherines - aka Montreaux Estates Subdivision,JAN-15-2016,
38210,Illegal Dumping,JAN-14-2016,NOV,Memphis,Shelby,JAN-14-2016,Duncan Site,JAN-12-2016,NRS790000179
38208,Illegal Dumping,JAN-14-2016,Referred to other Agency/Section,Memphis,Shelby,JAN-19-2016,"American Drum & Pallet Company, Inc.",JAN-12-2016,
38153,Other,JAN-15-2016,No Jurisdiction,Memphis,Shelby,JAN-25-2016,Stables Subdivision/Eplex Landfill,JAN-11-2016,
38547,Haz Waste Issue,APR-07-2016,No Problem Found,Memphis,Shelby,APR-07-2016,Arnett Tractor and Equipment,JAN-11-2016,
38156,Other,JAN-15-2016,No Jurisdiction,Memphis,Shelby,JAN-15-2016,Stables Subdivision/Eplex Landfill,JAN-11-2016,
38164,Other,JAN-06-2016,No Problem Found,Memphis,Shelby,JAN-06-2016,Halle Plantation,JAN-06-2016,
38151,Other,JAN-06-2016,No Problem Found,Memphis,Shelby,JAN-06-2016,Stables Subdivision/Eplex Landfill,JAN-06-2016,
38149,Other,JAN-06-2016,No Problem Found,Memphis,Shelby,JAN-06-2016,Stables Subdivision near Eplex Landfill,JAN-04-2016,
38146,Other,JAN-06-2016,No Problem Found,Memphis,Shelby,JAN-06-2016,Stables Subdivision near Eplex Landfill,JAN-01-2016,
38030,Other,DEC-28-2015,No Problem Found,Memphis,Shelby,DEC-28-2015,Stables Subdivision/Eplex Landfill,DEC-28-2015,
37982,Illegal Dumping,DEC-22-2015,No Problem Found,Memphis,Shelby,DEC-22-2015,Playground Construction ,DEC-22-2015,
37978,Other,DEC-08-2015,No Problem Found,Memphis,Shelby,DEC-08-2015,Halle Plantation,DEC-08-2015,
37977,Other,DEC-08-2015,No Problem Found,Memphis,Shelby,DEC-08-2015,Halle Plantation,DEC-01-2015,
37976,Other,DEC-08-2015,No Problem Found,Memphis,Shelby,DEC-08-2015,Halle Plantation,NOV-30-2015,
37850,Haz Waste Issue,DEC-16-2015,NOV,Memphis,Shelby,DEC-16-2015,Delta Foremost Chemical Corp,NOV-20-2015,TND007039910
37744,Illegal Dumping,NOV-20-2015,Referred to other Agency/Section,Memphis,Shelby,NOV-20-2015,,NOV-19-2015,
37975,Other,NOV-18-2015,No Problem Found,Memphis,Shelby,NOV-18-2015,Halle Plantation,NOV-18-2015,
37700,Used Oil,JAN-25-2016,NOV,Memphis,Shelby,JAN-25-2016,"Memphis Auto Parts & Salvage & Auto Sales, Inc.",NOV-09-2015,
37580,Haz Waste Issue,OCT-22-2015,No Problem Found,Memphis,Shelby,OCT-22-2015,Greenline Landscaping Warehouse,OCT-09-2015,
37472,Other,OCT-13-2015,No Problem Found,Memphis,Shelby,OCT-13-2015,"Turner Holdings, LLC dba Forest Hill Dairy",OCT-09-2015,
37582,Used Oil,NOV-06-2015,NOV,Memphis,Shelby,NOV-06-2015,Eads Automotive-Used Car Lot,OCT-08-2015,TNR000040576
37371,Other,OCT-01-2015,No Jurisdiction,Memphis,Shelby,OCT-01-2015,,OCT-01-2015,
36864,Other,AUG-05-2015,No Jurisdiction,Memphis,Shelby,AUG-05-2015,Averit Express,AUG-05-2015,
36817,Haz Waste Issue,AUG-11-2015,No Problem Found,Memphis,Shelby,AUG-11-2015,KIK Custom Products,JUL-29-2015,TND987785490
36736,Used Oil,JUL-24-2015,Referred to other Agency/Section,Memphis,Shelby,JUL-24-2015,Warren Unilube,JUL-24-2015,
36714,Used Oil,AUG-12-2015,NOV,Memphis,Shelby,AUG-12-2015,Ty's Automotive Machine Shop,JUL-20-2015,
36561,Other,JUL-06-2015,No Jurisdiction,Memphis,Shelby,JUL-06-2015,Creekside Subdivision,JUL-06-2015,
36685,Haz Waste Issue,JUL-01-2015,NOV,Memphis,Shelby,JUL-01-2015,Active Auto Parts,JUN-26-2015,
36515,Haz Waste Issue,JUL-09-2015,Referred to other Agency/Section,Memphis,Shelby,JUL-09-2015,Region One Health,JUN-26-2015,
