Complaint ID,Concerning,Investigated,Status,EFO,County,Completed,Site,Received,Facility ID
26459,Other,AUG-17-2012,No Jurisdiction,Memphis,Shelby,AUG-17-2012,Abandoned building on lot. Reportedly closed 8-10 years ago.,AUG-17-2012,
26209,Haz Waste Issue,AUG-03-2012,No Problem Found,Memphis,Shelby,AUG-03-2012,Perlman Metal Recovery Operation,AUG-03-2012,
26251,Used Oil,AUG-03-2012,Referred to other Agency/Section,Memphis,Shelby,AUG-03-2012,Lynnbrook Place,AUG-01-2012,
25809,Haz Waste Issue,JUL-17-2012,NOV,Memphis,Shelby,JUL-17-2012,Jim Keras Chevrolet,JUN-29-2012,
25773,Haz Waste Issue,JUL-05-2012,NOV,Memphis,Shelby,JUL-05-2012,Smith Imports Body Shop,JUN-27-2012,
25660,Illegal Dumping,JUN-14-2012,Referred to other Agency/Section,Memphis,Shelby,JUN-14-2012,Egypt Baptist Church Area,JUN-14-2012,
25612,Used Oil,JUN-18-2012,No Problem Found,Memphis,Shelby,JUN-18-2012,Residence,JUN-12-2012,
25712,Illegal Dumping,JUN-18-2012,NOV,Memphis,Shelby,JUN-18-2012,Hale Property,JUN-06-2012,NRS790000196
25541,Illegal Dumping,JUN-07-2012,No Problem Found,Memphis,Shelby,JUN-07-2012,Worley Bros. Salvage Yard,JUN-05-2012,
25540,Other,JUN-19-2012,Referred to other Agency/Section,Memphis,Shelby,JUN-19-2012,Valero Memphis Refinery,JUN-01-2012,
25533,Other,JUN-01-2012,NOV,Memphis,Shelby,JUN-01-2012,Allens Steel Products,MAY-23-2012,
25412,Other,MAY-31-2012,No Problem Found,Memphis,Shelby,MAY-31-2012,Container Life Cycle Management dba Drumco of TN,MAY-22-2012,
25582,Used Oil,OCT-11-2012,No Problem Found,Memphis,Shelby,OCT-11-2012,Taller La Raza,MAY-22-2012,
25383,Haz Waste Issue,MAY-22-2012,NOV,Memphis,Shelby,MAY-22-2012,"River City Motors, Inc.",MAY-15-2012,
25387,Illegal Dumping,MAY-24-2012,No Problem Found,Memphis,Shelby,MAY-24-2012,Alonzo Weaver Park and Mitchell HS,MAY-11-2012,
25277,Haz Waste Issue,MAY-08-2012,Corrected (No NOV),Memphis,Shelby,JUN-21-2012,Dick's Sporting Goods,MAY-08-2012,
25275,Used Oil,JUN-07-2012,Corrected (No NOV),Memphis,Shelby,JUN-07-2012,Memphis Auto Parts,APR-20-2012,
24890,Other,APR-02-2012,Referred to other Agency/Section,Memphis,Shelby,APR-02-2012,MLGW Plant ,APR-02-2012,
24637,Illegal Dumping,MAR-27-2012,No Problem Found,Memphis,Shelby,MAR-27-2012,,MAR-15-2012,
24478,Illegal Dumping,MAR-28-2012,Referred to other Agency/Section,Memphis,Shelby,MAR-28-2012,,FEB-29-2012,
24615,Used Oil,MAR-14-2012,No Problem Found,Memphis,Shelby,MAR-14-2012,Firestone Autocare,FEB-22-2012,
24190,Other,FEB-14-2012,NOV,Memphis,Shelby,FEB-14-2012,Barnhart Crane & Rigging,FEB-09-2012,
24239,Other,FEB-06-2012,No Jurisdiction,Memphis,Shelby,FEB-06-2012,Home and Night Club,FEB-06-2012,
24162,Illegal Dumping,FEB-06-2012,No Jurisdiction,Memphis,Shelby,FEB-06-2012,,FEB-06-2012,
23899,Other,JAN-10-2012,Referred to other Agency/Section,Memphis,Shelby,JAN-10-2012,,JAN-10-2012,
23888,Tires,FEB-29-2012,Corrected (No NOV),Memphis,Shelby,FEB-29-2012,Former Wright Brothers Shell Station,JAN-10-2012,
23886,Illegal Dumping,JAN-11-2012,No Problem Found,Memphis,Shelby,JAN-11-2012,Shelby Center Hospital for Animals,DEC-19-2011,
23816,Used Oil,JAN-04-2012,No Problem Found,Memphis,Shelby,JAN-04-2012,"Memphis Auto Sales & Consulting, Inc.",DEC-19-2011,
23877,Haz Waste Issue,JAN-13-2012,NOV,Memphis,Shelby,JAN-13-2012,"Velsicol Chemical, LLC",DEC-15-2011,TND007024664
23739,Used Oil,JAN-20-2012,No Problem Found,Memphis,Shelby,JAN-20-2012,Tri-State Thermo King,DEC-13-2011,
23891,Illegal Dumping,DEC-13-2011,NOV,Memphis,Shelby,DEC-13-2011,"Eaton-Moery Environmental Services, Inc. -Pear Avenue Station",DEC-09-2011,TRF790001418
23565,Other,DEC-02-2011,NOV,Memphis,Shelby,DEC-02-2011,Dexter Dry Cleaners,NOV-18-2011,
23353,Illegal Dumping,DEC-02-2011,No Problem Found,Memphis,Shelby,DEC-02-2011,,NOV-07-2011,
23326,Used Oil,NOV-04-2011,No Problem Found,Memphis,Shelby,NOV-04-2011,1165 Beechwood St.,NOV-03-2011,
23262,Illegal Dumping,OCT-31-2011,Referred to other Agency/Section,Memphis,Shelby,OCT-31-2011,,OCT-28-2011,
23162,Haz Waste Issue,NOV-16-2011,No Problem Found,Memphis,Shelby,NOV-16-2011,Memphis Fire Dept.,OCT-18-2011,
23568,Illegal Dumping,OCT-19-2011,NOV,Memphis,Shelby,OCT-19-2011,Industrial Air Corporation of Tennessee,OCT-07-2011,
23016,Illegal Dumping,OCT-05-2011,Referred to other Agency/Section,Memphis,Shelby,OCT-05-2011,,OCT-04-2011,
22970,Haz Waste Issue,SEP-28-2011,No Problem Found,Memphis,Shelby,SEP-28-2011,"Cleo, Inc.",SEP-28-2011,TND086931672
22664,Illegal Dumping,DEC-02-2011,No Problem Found,Memphis,Shelby,DEC-02-2011,,AUG-31-2011,
22729,Used Oil,AUG-31-2011,NOV,Memphis,Shelby,AUG-31-2011,Stewart Service Center,AUG-26-2011,
22410,Illegal Dumping,AUG-18-2011,No Problem Found,Memphis,Shelby,AUG-18-2011,Black Equipment Co. South,AUG-10-2011,
22193,Used Oil,JUL-22-2011,Closed,Memphis,Shelby,JUL-22-2011,3105 Fleetbrook,JUL-22-2011,
22187,Used Oil,JUL-28-2011,Corrected (No NOV),Memphis,Shelby,JUL-28-2011,1162 Beechwood Ave.,JUL-22-2011,
21884,Other,JUN-29-2011,Closed,Memphis,Shelby,JUN-29-2011,,JUN-24-2011,
21791,Haz Waste Issue,JUN-03-2011,NOV,Memphis,Shelby,JUN-03-2011,"Tradebe Transportation, LLC",MAY-31-2011,
21608,Illegal Dumping,JUN-28-2011,No Jurisdiction,Memphis,Shelby,JUN-28-2011,,MAY-26-2011,
21639,Other,MAY-31-2011,Referred to other Agency/Section,Memphis,Shelby,MAY-31-2011,Industrial Lubricants,MAY-24-2011,
21551,Other,MAY-27-2011,No Problem Found,Memphis,Shelby,MAY-27-2011,Bakery Feeds,MAY-24-2011,
20550,Other,MAY-24-2011,Referred to other Agency/Section,Memphis,Shelby,MAY-24-2011,Construction Site,MAY-23-2011,
18894,Haz Waste Issue,MAY-27-2011,No Problem Found,Memphis,Shelby,MAY-27-2011,"Three States Supply Co, LLC",MAY-02-2011,
18947,Other,MAY-06-2011,No Problem Found,Memphis,Shelby,MAY-06-2011,Siemans Health Care,APR-25-2011,
18723,Other,APR-19-2011,Closed,Memphis,Shelby,APR-19-2011,,APR-19-2011,
18674,Illegal Dumping,APR-15-2011,No Jurisdiction,Memphis,Shelby,APR-15-2011,,APR-15-2011,
18747,Haz Waste Issue,APR-20-2011,No Problem Found,Memphis,Shelby,APR-20-2011,Acme Chemex,APR-12-2011,
17920,Used Oil,FEB-25-2011,NOV,Memphis,Shelby,FEB-25-2011,Alexander Transfer and Storage,FEB-22-2011,
17624,Haz Waste Issue,JAN-28-2011,NOV,Memphis,Shelby,JAN-28-2011,Bluff City Dockhoppers,JAN-12-2011,
17197,Other,NOV-19-2010,No Problem Found,Memphis,Shelby,NOV-19-2010,Henderson Detail,NOV-17-2010,
17201,Illegal Dumping,NOV-17-2010,NOV,Memphis,Shelby,NOV-17-2010,Knightway Apartments Demolition,NOV-15-2010,NRS790000201
16922,Used Oil,NOV-12-2010,NOV,Memphis,Shelby,NOV-12-2010,"Floats & Fuel Cells, Inc.",NOV-08-2010,
16614,Haz Waste Issue,NOV-05-2010,NOV,Memphis,Shelby,NOV-05-2010,RMS Surgical Memphis,OCT-15-2010,
16424,Haz Waste Issue,OCT-06-2010,NOV,Memphis,Shelby,OCT-06-2010,"Superior Coatings & Sealants, Inc.",SEP-30-2010,
16616,Used Oil,AUG-23-2010,Corrected (No NOV),Memphis,Shelby,AUG-23-2010,Active Auto Parts,AUG-23-2010,
16615,Used Oil,AUG-23-2010,NOV,Memphis,Shelby,AUG-23-2010,Dan's Towing Service,AUG-23-2010,
15748,Other,AUG-10-2010,Closed,Memphis,Shelby,AUG-10-2010,,AUG-10-2010,
15029,Used Oil,JUN-11-2010,NOV,Memphis,Shelby,JUN-11-2010,"Innovision, Inc.",JUN-10-2010,
15087,Haz Waste Issue,JUN-14-2010,No Problem Found,Memphis,Shelby,JUN-14-2010,"Floied Fire Extinguisher & Steam Cleaning Co., Inc. ",JUN-08-2010,
14999,Illegal Dumping,JUN-04-2010,NOV,Memphis,Shelby,JUN-04-2010,Chrystal Whitlow & Joy Jones,JUN-03-2010,NRS790000197
14966,Haz Waste Issue,JUN-01-2010,NOV,Memphis,Shelby,JUN-01-2010,Competition Cams Inc,MAY-25-2010,
14786,Other,MAY-24-2010,No Jurisdiction,Memphis,Shelby,MAY-24-2010,,MAY-24-2010,
14970,Other,JUN-07-2010,No Jurisdiction,Memphis,Shelby,JUN-07-2010,Quito Rd,MAY-24-2010,
14569,Haz Waste Issue,MAY-27-2010,NOV,Memphis,Shelby,MAY-27-2010,"Velsicol Chemical, LLC",MAY-05-2010,TND007024664
17695,Other,APR-13-2010,No Problem Found,Memphis,Shelby,APR-13-2010,Property near Wolf River and Shelby County Landfill,APR-13-2010,
14145,Used Oil,APR-01-2010,NOV,Memphis,Shelby,APR-01-2010,Cummings Environmental,APR-01-2010,
14862,Used Oil,APR-09-2010,NOV,Memphis,Shelby,APR-09-2010,Getwell Auto Sales,MAR-26-2010,
14868,Tires,APR-09-2010,No Problem Found,Memphis,Shelby,APR-09-2010,MOT-C's Tire Shop,MAR-26-2010,
13989,Used Oil,MAR-23-2010,NOV,Memphis,Shelby,MAR-23-2010,McGinnis Oil Company Bulk Facility,MAR-22-2010,
13675,Other,APR-22-2010,No Problem Found,Memphis,Shelby,APR-22-2010,FCC Environmental,MAR-18-2010,
13619,,MAR-12-2010,No Problem Found,Memphis,Shelby,MAR-12-2010,Auntie Q's Auction,MAR-05-2010,
13271,Other,FEB-24-2010,Referred to other Agency/Section,Memphis,Shelby,FEB-24-2010,611 N. Holmes Street,FEB-24-2010,
13207,Used Oil,FEB-19-2010,NOV,Memphis,Shelby,FEB-19-2010,MC's Auto Service,FEB-17-2010,
14003,Illegal Dumping,FEB-12-2010,NOV,Memphis,Shelby,FEB-12-2010,4532 Tchulahoma,FEB-03-2010,
13232,Used Oil,FEB-11-2010,No Problem Found,Memphis,Shelby,FEB-11-2010,Rural Metro Ambulance Corporation,FEB-02-2010,
13197,Other,FEB-11-2010,Referred to other Agency/Section,Memphis,Shelby,FEB-17-2010,Corner Macon Road/Homer Street,JAN-26-2010,
12977,,JAN-22-2010,No Jurisdiction,Memphis,Shelby,JAN-22-2010,Stratford and McCrory,JAN-22-2010,
12842,Tires,JAN-20-2010,No Jurisdiction,Memphis,Shelby,JAN-20-2010,,JAN-04-2010,
17690,Other,DEC-04-2009,Referred to other Agency/Section,Memphis,Shelby,DEC-04-2009,Residential,DEC-04-2009,
12752,Illegal Dumping,DEC-10-2009,Referred to other Agency/Section,Memphis,Shelby,DEC-10-2009,Roadside  liiter site,NOV-24-2009,
12546,Environmental Complaint,DEC-02-2009,Closed,Memphis,Shelby,DEC-02-2009,,AUG-11-2009,
12757,Illegal Dumping,SEP-02-2009,Referred to other Agency/Section,Memphis,Shelby,SEP-02-2009,Residence,AUG-11-2009,
12589,Illegal Dumping,JUN-02-2009,Closed,Memphis,Shelby,JUN-02-2009,,MAY-20-2009,
12494,,MAY-13-2009,Referred to other Agency/Section,Memphis,Shelby,MAY-13-2009,,APR-14-2009,
12686,,APR-17-2009,No Jurisdiction,Memphis,Shelby,APR-17-2009,,APR-14-2009,
12496,,MAR-12-2009,NOV,Memphis,Shelby,MAR-12-2009,,MAR-12-2009,
12687,,APR-01-2009,No Jurisdiction,Memphis,Shelby,APR-01-2009,,FEB-19-2009,
