address,latitude,longitude,geopoint
W INGLE AVE,35.10027904,-90.0689902,"35.10027904, -90.06899020"
3582 MARTY ST,35.05091363,-90.05779776,"35.05091363, -90.05779776"
862 N TREZEVANT ST,35.15946307,-89.98023384,"35.15946307, -89.98023384"
3037 CRYSTAL AVE,35.14063054,-89.96003693,"35.14063054, -89.96003693"
5088 HELENE RD,35.08761505,-89.89219893,"35.08761505, -89.89219893"
12 S AUBURNDALE ST,35.13750634,-90.00211595,"35.13750634, -90.00211595"
6566 GOLDENEYE DR,35.0136259,-89.84439727,"35.01362590, -89.84439727"
1434 ASTE ST,35.10809708,-90.0479556,"35.10809708, -90.04795560"
2708 FRISCO AVE,35.08635956,-89.97232753,"35.08635956, -89.97232753"
1021 HAWKVIEW DR,35.15334709,-89.79730567,"35.15334709, -89.79730567"
1612 MILLER ST,35.10297806,-90.04125619,"35.10297806, -90.04125619"
5590 PATHWAY CL,35.043564,-89.87725331,"35.04356400, -89.87725331"
293 AURORA CL,35.13973881,-89.93939038,"35.13973881, -89.93939038"
5717 EASTOVER PL,35.08531631,-89.8727647,"35.08531631, -89.87276470"
6755 CLEARY DR,35.02072087,-89.838024,"35.02072087, -89.83802400"
4507 WHITESIDE ST,35.02573659,-90.04095143,"35.02573659, -90.04095143"
4126 PRINT AVE,35.17543095,-89.9230906,"35.17543095, -89.92309060"
5156 HALEVILLE RD,35.00765531,-90.01110529,"35.00765531, -90.01110529"
2230 HEARD AVE,35.18179076,-89.98255864,"35.18179076, -89.98255864"
0 HOLLYWOOD,35.15490408,-89.9761434,"35.15490408, -89.97614340"
0 PERSHING AVE,35.15371079,-89.96900226,"35.15371079, -89.96900226"
1099 S FOURTH ST,35.11729557,-90.0515143,"35.11729557, -90.05151430"
1983 MURLEY AVE,35.09249854,-89.99685136,"35.09249854, -89.99685136"
8984 HEATH CV,35.180305,-89.76435376,"35.18030500, -89.76435376"
4044 S BORDEAUX CREEK CV,35.03801604,-89.83036618,"35.03801604, -89.83036618"
1441 ETHLYN AVE,35.10441326,-90.01448471,"35.10441326, -90.01448471"
SPEED ST,35.16578316,-90.01216703,"35.16578316, -90.01216703"
0 HALE,35.14221656,-89.96247778,"35.14221656, -89.96247778"
2211 CHATTERING LN,35.24060189,-89.98982414,"35.24060189, -89.98982414"
3923 AJANDERS DR,35.23291444,-89.96537506,"35.23291444, -89.96537506"
1631 HANAUER,35.10310157,-90.07023004,"35.10310157, -90.07023004"
3143 ALTA RD,35.06295333,-90.07704591,"35.06295333, -90.07704591"
0 BROOKLYN AVE,35.10959213,-89.98044518,"35.10959213, -89.98044518"
2947 CHARLESTOWNE PL,35.06845202,-89.85451285,"35.06845202, -89.85451285"
0 E MARBLE AVE,35.17149206,-89.99763714,"35.17149206, -89.99763714"
0 MOUNTAIN TERRACE ST,35.21553168,-89.98381388,"35.21553168, -89.98381388"
3305 BIRCHFIELD DR,35.21592934,-89.97094549,"35.21592934, -89.97094549"
547 HEMSLEY AVE,35.0103915,-90.0455481,"35.01039150, -90.04554810"
4063 KERWIN DR,35.23654748,-89.93292206,"35.23654748, -89.93292206"
2028 WESTCANNON CV,35.18083909,-89.7864554,"35.18083909, -89.78645540"
0 N PARKWAY,35.15296038,-90.01005586,"35.15296038, -90.01005586"
2669 SUPREME AVE,35.10526086,-89.97336795,"35.10526086, -89.97336795"
4879 CARNES AVE,35.10836191,-89.89934401,"35.10836191, -89.89934401"
955 PAR AVE,35.2191914,-90.03215845,"35.21919140, -90.03215845"
7411 GERMAN HOLLOW CV,35.04059215,-89.8163759,"35.04059215, -89.81637590"
3881 KERWOOD AVE,35.23336107,-89.93423733,"35.23336107, -89.93423733"
31 W BROOKS RD,35.06282846,-90.0647137,"35.06282846, -90.06471370"
2315 PENBROOK FAWY,35.18876562,-89.78619898,"35.18876562, -89.78619898"
803 ALSTON AVE,35.12329088,-90.03468877,"35.12329088, -90.03468877"
2247 LOVITT DR,35.08787533,-89.86626103,"35.08787533, -89.86626103"
5208 WELCHSHIRE AVE,35.10342114,-89.8882756,"35.10342114, -89.88827560"
2786 FLETCHER PARK CIR,35.20126928,-89.76252785,"35.20126928, -89.76252785"
1520 HAMILTON ST,35.1037726,-89.97759529,"35.10377260, -89.97759529"
700 SWEETBRIER RD,35.11180533,-89.86247614,"35.11180533, -89.86247614"
1609 SMOKEHOUSE DR,35.16922491,-89.78903879,"35.16922491, -89.78903879"
5436 LAURIE LN,35.11985047,-89.88066525,"35.11985047, -89.88066525"
2405 SHASTA AVE,35.1686295,-89.97700656,"35.16862950, -89.97700656"
2942 E OVERTON CROSSING ST,35.2056088,-89.99532621,"35.20560880, -89.99532621"
2386 CIRCLE AVE,35.14651742,-89.97993361,"35.14651742, -89.97993361"
2982 ELGIN DR,35.06708744,-89.88295142,"35.06708744, -89.88295142"
789 FREEMAN ST,35.15332699,-89.9378548,"35.15332699, -89.93785480"
3080 SUNRISE ST,35.20963597,-90.03968086,"35.20963597, -90.03968086"
246 W TRIGG AVE,35.11297364,-90.07057223,"35.11297364, -90.07057223"
4504 WHITE FOX ST,35.0257616,-90.04735874,"35.02576160, -90.04735874"
1171 NASSAU ST,35.09970003,-89.89711187,"35.09970003, -89.89711187"
