Average Initial Response Time,DEPARTMENT,REPORTED,REPORTED_COUNT,Response above 30 days,Response in 5 days,Response in 6-15 days,Response in 16-30 days
4.86,Residential,03/01/2019 12:00:00 AM,1848,21,1259,542,24
246.56,Commercial,12/01/2019 12:00:00 AM,27,16,2,4,5
3.97,Residential,01/01/2023 12:00:00 AM,1953,24,1484,362,83
5.57,Residential,05/01/2019 12:00:00 AM,2882,36,1766,1010,68
4.83,Residential,02/01/2019 12:00:00 AM,2170,22,1439,665,44
10.95,Residential,12/01/2016 12:00:00 AM,1727,105,804,616,202
7.23,Residential,12/01/2018 12:00:00 AM,1113,13,608,416,76
27.64,Commercial,05/01/2023 12:00:00 AM,185,51,39,18,25
7.66,Residential,05/01/2018 12:00:00 AM,3228,32,1592,1362,241
161.71,Commercial,04/01/2020 12:00:00 AM,34,27,4,2,0
189.91,Commercial,02/01/2020 12:00:00 AM,54,30,12,6,6
25.62,Commercial,03/01/2022 12:00:00 AM,97,13,46,28,10
4.92,Residential,06/01/2023 12:00:00 AM,3198,78,2245,680,150
2.05,Commercial,08/01/2023 12:00:00 AM,80,0,24,5,0
2.29,Residential,08/01/2023 12:00:00 AM,1474,0,886,164,0
7.17,Residential,10/01/2018 12:00:00 AM,2131,29,1153,794,155
3.75,Residential,02/01/2021 12:00:00 AM,1918,20,1568,268,61
37.28,Commercial,05/01/2021 12:00:00 AM,79,45,20,8,6
19,Commercial,12/01/2021 12:00:00 AM,58,14,19,17,7
3.76,Residential,12/01/2021 12:00:00 AM,1360,6,970,347,36
48.86,Commercial,04/01/2021 12:00:00 AM,89,52,24,6,7
8.82,Residential,11/01/2018 12:00:00 AM,1262,28,707,430,95
63.48,Commercial,02/01/2021 12:00:00 AM,44,21,20,2,1
158.38,Commercial,07/01/2020 12:00:00 AM,117,83,17,9,8
147.64,Commercial,06/01/2019 12:00:00 AM,74,44,20,9,1
5.01,Residential,01/01/2020 12:00:00 AM,1658,18,1096,496,47
295.13,Commercial,04/01/2019 12:00:00 AM,60,48,9,2,1
5.23,Residential,09/01/2020 12:00:00 AM,2907,62,2088,692,65
3.11,Residential,03/01/2021 12:00:00 AM,2747,23,2296,392,36
9.57,Residential,09/01/2018 12:00:00 AM,2737,55,1353,1034,294
8.28,Residential,04/01/2020 12:00:00 AM,1467,71,733,546,117
12.68,Commercial,10/01/2021 12:00:00 AM,127,12,52,49,14
5,Residential,05/01/2021 12:00:00 AM,3295,96,2429,667,101
